UserId;GroupId;Hand;Object;Errors;ImpactPoints;Time

2;0;right;014_lemon;Thumb_3:-0.397822 Index_3:1.332038 Middle_3:1.882649 Ring_3:0.214096 Pinky_3:0.0 Thumb_2:-0.230606 Index_2:0.340382 Middle_2:0.733219 Ring_2:-0.148726 Pinky_2:0.0 ;Thumb_3:X=196.650 Y=14.766 Z=141.061 Index_3:X=200.354 Y=16.003 Z=140.852 Middle_3:X=200.468 Y=16.349 Z=139.445 Ring_3:X=199.655 Y=17.028 Z=137.702 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=195.421 Y=16.405 Z=140.703 Index_2:X=199.755 Y=17.362 Z=142.339 Middle_2:X=200.620 Y=18.141 Z=140.769 Ring_2:X=200.659 Y=18.427 Z=139.185 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.766701
2;0;right;003_cracker_box;Thumb_3:0.303633 Index_3:0.0 Middle_3:0.0 Ring_3:1.377537 Pinky_3:1.435995 Thumb_2:1.077965 Index_2:0.167168 Middle_2:1.286193 Ring_2:0.535109 Pinky_2:0.159033 ;Thumb_3:X=195.023 Y=16.745 Z=153.633 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=202.331 Y=19.396 Z=150.466 Pinky_3:X=202.654 Y=20.690 Z=147.950 Thumb_2:X=195.117 Y=18.815 Z=150.970 Index_2:X=199.135 Y=22.209 Z=155.045 Middle_2:X=200.203 Y=22.479 Z=152.445 Ring_2:X=201.064 Y=22.353 Z=149.988 Pinky_2:X=201.486 Y=23.194 Z=147.389 ;1.600189
2;0;right;004_sugar_box;Thumb_3:-0.52614 Index_3:-2.222976 Middle_3:-1.5862 Ring_3:-5.582778 Pinky_3:0.0 Thumb_2:-1.057384 Index_2:0.205847 Middle_2:2.152875 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=195.389 Y=15.184 Z=146.872 Index_3:X=199.205 Y=21.777 Z=153.153 Middle_3:X=201.385 Y=16.722 Z=146.708 Ring_3:X=202.346 Y=14.292 Z=144.095 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=193.139 Y=15.926 Z=145.202 Index_2:X=197.390 Y=20.866 Z=149.853 Middle_2:X=197.438 Y=18.299 Z=144.755 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.700562
2;0;right;005_tomato_soup_can;Thumb_3:-0.003768 Index_3:1.73647 Middle_3:0.0 Ring_3:1.131282 Pinky_3:0.093133 Thumb_2:0.591505 Index_2:0.337979 Middle_2:2.29683 Ring_2:1.613853 Pinky_2:1.466252 ;Thumb_3:X=192.100 Y=17.918 Z=136.096 Index_3:X=197.704 Y=17.604 Z=139.756 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=199.607 Y=18.569 Z=135.596 Pinky_3:X=200.571 Y=19.822 Z=133.644 Thumb_2:X=192.957 Y=20.075 Z=134.863 Index_2:X=196.561 Y=20.304 Z=139.948 Middle_2:X=198.182 Y=19.855 Z=138.095 Ring_2:X=199.057 Y=20.766 Z=135.881 Pinky_2:X=199.773 Y=21.913 Z=133.489 ;2.800095
2;0;right;006_mustard_bottle;Thumb_3:-0.367623 Index_3:0.782679 Middle_3:0.550785 Ring_3:-1.033672 Pinky_3:-0.471201 Thumb_2:-0.022698 Index_2:0.234157 Middle_2:0.916564 Ring_2:2.068089 Pinky_2:3.199178 ;Thumb_3:X=194.361 Y=15.916 Z=141.870 Index_3:X=200.423 Y=13.173 Z=144.453 Middle_3:X=199.363 Y=14.623 Z=140.046 Ring_3:X=198.324 Y=16.660 Z=137.506 Pinky_3:X=198.338 Y=19.325 Z=137.125 Thumb_2:X=194.689 Y=18.783 Z=141.847 Index_2:X=199.954 Y=15.825 Z=145.225 Middle_2:X=199.667 Y=16.810 Z=141.774 Ring_2:X=198.910 Y=19.583 Z=139.872 Pinky_2:X=198.216 Y=22.365 Z=138.525 ;2.466377
2;0;right;007_tuna_fish_can;Thumb_3:0.950416 Index_3:0.592213 Middle_3:-2.801042 Ring_3:-1.088718 Pinky_3:-6.033543 Thumb_2:0.489036 Index_2:0.570473 Middle_2:-1.24226 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=198.412 Y=19.847 Z=136.588 Index_3:X=202.235 Y=20.830 Z=132.805 Middle_3:X=201.509 Y=17.934 Z=131.593 Ring_3:X=196.591 Y=17.875 Z=134.141 Pinky_3:X=196.066 Y=15.907 Z=133.859 Thumb_2:X=196.755 Y=21.470 Z=138.048 Index_2:X=201.064 Y=22.596 Z=133.829 Middle_2:X=200.378 Y=22.305 Z=132.844 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.766556
2;0;right;008_pudding_box;Thumb_3:0.225823 Index_3:-0.84647 Middle_3:2.140547 Ring_3:-0.294313 Pinky_3:0.0 Thumb_2:-0.364331 Index_2:-0.219373 Middle_2:3.405728 Ring_2:4.258711 Pinky_2:5.213737 ;Thumb_3:X=199.067 Y=22.062 Z=142.831 Index_3:X=202.658 Y=19.140 Z=139.274 Middle_3:X=199.855 Y=17.721 Z=139.317 Ring_3:X=197.379 Y=17.031 Z=139.561 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.952 Y=23.717 Z=142.734 Index_2:X=201.098 Y=22.049 Z=138.992 Middle_2:X=197.886 Y=19.934 Z=139.259 Ring_2:X=194.394 Y=21.053 Z=139.488 Pinky_2:X=191.657 Y=21.991 Z=139.752 ;2.033241
2;0;right;009_gelatin_box;Thumb_3:0.091157 Index_3:-1.997393 Middle_3:1.82356 Ring_3:-1.562528 Pinky_3:-4.626014 Thumb_2:-0.110246 Index_2:-0.713985 Middle_2:3.356081 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=198.491 Y=20.844 Z=142.564 Index_3:X=202.218 Y=18.283 Z=139.565 Middle_3:X=198.565 Y=17.739 Z=139.806 Ring_3:X=196.517 Y=16.427 Z=139.980 Pinky_3:X=195.813 Y=15.436 Z=140.079 Thumb_2:X=196.221 Y=22.702 Z=142.699 Index_2:X=200.600 Y=21.636 Z=139.548 Middle_2:X=196.818 Y=20.076 Z=139.852 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.599976
2;0;right;010_potted_meat_can;Thumb_3:-0.142534 Index_3:0.790599 Middle_3:2.99578 Ring_3:2.379759 Pinky_3:0.0 Thumb_2:3.41906 Index_2:0.144763 Middle_2:1.879003 Ring_2:1.730925 Pinky_2:0.0 ;Thumb_3:X=194.284 Y=17.375 Z=147.063 Index_3:X=199.925 Y=22.350 Z=145.347 Middle_3:X=202.185 Y=22.462 Z=143.132 Ring_3:X=202.427 Y=22.474 Z=141.036 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=195.400 Y=18.541 Z=142.658 Index_2:X=196.703 Y=22.155 Z=144.392 Middle_2:X=198.389 Y=22.196 Z=141.692 Ring_2:X=199.026 Y=22.178 Z=139.974 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.300056
2;0;right;011_banana;Thumb_3:-0.796888 Index_3:0.878911 Middle_3:2.598881 Ring_3:0.669384 Pinky_3:-0.321381 Thumb_2:0.257522 Index_2:-0.601991 Middle_2:2.341115 Ring_2:2.070192 Pinky_2:2.128785 ;Thumb_3:X=196.547 Y=13.433 Z=141.989 Index_3:X=195.700 Y=13.964 Z=138.947 Middle_3:X=194.073 Y=14.755 Z=138.940 Ring_3:X=192.205 Y=15.424 Z=139.365 Pinky_3:X=190.890 Y=16.528 Z=139.523 Thumb_2:X=194.981 Y=15.413 Z=142.471 Index_2:X=197.729 Y=14.952 Z=138.904 Middle_2:X=194.601 Y=15.864 Z=139.064 Ring_2:X=192.564 Y=16.971 Z=139.254 Pinky_2:X=190.815 Y=18.318 Z=139.633 ;1.922356
2;0;right;012_strawberry;Thumb_3:0.251461 Index_3:0.631549 Middle_3:0.206271 Ring_3:0.0 Pinky_3:0.0 Thumb_2:1.556347 Index_2:0.265813 Middle_2:0.112492 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=199.716 Y=20.753 Z=146.308 Index_3:X=200.777 Y=17.705 Z=144.678 Middle_3:X=199.566 Y=17.276 Z=144.633 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=198.415 Y=21.628 Z=144.837 Index_2:X=201.220 Y=19.631 Z=143.146 Middle_2:X=199.763 Y=18.499 Z=142.580 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.777618
2;0;right;013_apple;Thumb_3:-0.085925 Index_3:1.213966 Middle_3:1.975406 Ring_3:1.016578 Pinky_3:-2.013053 Thumb_2:-0.21143 Index_2:0.290801 Middle_2:1.176031 Ring_2:0.856044 Pinky_2:-0.447316 ;Thumb_3:X=198.872 Y=24.329 Z=144.607 Index_3:X=200.992 Y=19.599 Z=142.719 Middle_3:X=200.146 Y=18.277 Z=143.046 Ring_3:X=198.995 Y=17.615 Z=143.017 Pinky_3:X=196.684 Y=17.579 Z=144.366 Thumb_2:X=196.923 Y=25.056 Z=143.523 Index_2:X=200.614 Y=21.213 Z=140.777 Middle_2:X=199.488 Y=18.667 Z=141.283 Ring_2:X=198.009 Y=17.917 Z=140.794 Pinky_2:X=195.840 Y=17.883 Z=141.451 ;1.622177
