UserId;GroupId;Hand;Object;Errors;ImpactPoints;Time

3;1;right;014_lemon;Thumb_3:0.054388 Index_3:0.793237 Middle_3:1.387863 Ring_3:-0.38349 Pinky_3:0.0 Thumb_2:0.111009 Index_2:0.233679 Middle_2:0.812333 Ring_2:0.196821 Pinky_2:0.0 ;Thumb_3:X=196.385 Y=16.841 Z=151.618 Index_3:X=197.848 Y=14.662 Z=150.751 Middle_3:X=197.592 Y=14.103 Z=150.342 Ring_3:X=195.802 Y=13.566 Z=149.498 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=195.300 Y=18.001 Z=150.307 Index_2:X=199.017 Y=16.519 Z=149.670 Middle_2:X=198.805 Y=15.417 Z=148.919 Ring_2:X=197.608 Y=14.386 Z=148.160 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.08902
3;1;right;003_cracker_box;Thumb_3:-0.413358 Index_3:2.090116 Middle_3:2.333736 Ring_3:-0.169395 Pinky_3:0.0 Thumb_2:-0.937819 Index_2:-0.05746 Middle_2:2.304842 Ring_2:2.592766 Pinky_2:0.0 ;Thumb_3:X=194.262 Y=17.173 Z=145.177 Index_3:X=198.542 Y=22.392 Z=147.153 Middle_3:X=199.812 Y=20.423 Z=143.857 Ring_3:X=200.054 Y=19.431 Z=141.535 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=192.463 Y=17.717 Z=142.860 Index_2:X=196.052 Y=23.934 Z=146.598 Middle_2:X=197.561 Y=21.545 Z=142.854 Ring_2:X=197.031 Y=20.864 Z=140.036 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.622467
3;1;left;004_sugar_box;Thumb_3:-0.123074 Index_3:-0.707111 Middle_3:1.835087 Ring_3:-2.485556 Pinky_3:0.0 Thumb_2:-0.134671 Index_2:-0.10194 Middle_2:2.492789 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=199.914 Y=22.511 Z=141.194 Index_3:X=203.378 Y=18.420 Z=142.490 Middle_3:X=204.373 Y=19.104 Z=139.851 Ring_3:X=206.035 Y=19.873 Z=138.313 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=197.974 Y=22.625 Z=138.995 Index_2:X=200.411 Y=18.426 Z=141.354 Middle_2:X=201.805 Y=19.074 Z=138.693 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.800262
3;1;right;005_tomato_soup_can;Thumb_3:-0.472783 Index_3:2.733831 Middle_3:1.459949 Ring_3:-0.041428 Pinky_3:0.0 Thumb_2:0.654571 Index_2:0.16093 Middle_2:0.210066 Ring_2:0.15244 Pinky_2:0.0 ;Thumb_3:X=194.373 Y=16.114 Z=143.340 Index_3:X=199.586 Y=18.426 Z=144.016 Middle_3:X=200.476 Y=16.877 Z=141.761 Ring_3:X=200.936 Y=16.479 Z=140.657 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=194.541 Y=16.912 Z=140.827 Index_2:X=197.858 Y=20.768 Z=144.118 Middle_2:X=199.957 Y=19.106 Z=141.591 Ring_2:X=200.583 Y=18.592 Z=139.723 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.700119
3;1;left;006_mustard_bottle;Thumb_3:-0.947823 Index_3:-4.89698 Middle_3:1.587994 Ring_3:1.275074 Pinky_3:0.0 Thumb_2:-1.176825 Index_2:-2.682701 Middle_2:3.138408 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=196.636 Y=21.506 Z=142.663 Index_3:X=203.688 Y=18.480 Z=145.690 Middle_3:X=201.319 Y=20.270 Z=140.674 Ring_3:X=199.539 Y=20.703 Z=137.612 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=195.043 Y=21.003 Z=140.674 Index_2:X=200.162 Y=16.479 Z=144.237 Middle_2:X=199.346 Y=19.228 Z=139.361 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.867111
3;1;right;007_tuna_fish_can;Thumb_3:0.804001 Index_3:0.988548 Middle_3:-1.25284 Ring_3:-1.650266 Pinky_3:0.0 Thumb_2:0.985884 Index_2:0.20594 Middle_2:1.220634 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=195.294 Y=16.446 Z=144.312 Index_3:X=200.939 Y=17.205 Z=143.727 Middle_3:X=197.610 Y=13.215 Z=143.353 Ring_3:X=194.821 Y=14.044 Z=141.892 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=193.494 Y=18.695 Z=143.218 Index_2:X=199.957 Y=19.284 Z=143.008 Middle_2:X=196.600 Y=17.391 Z=141.971 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.411301
3;1;left;008_pudding_box;Thumb_3:0.358501 Index_3:-1.214986 Middle_3:2.135833 Ring_3:-0.428609 Pinky_3:0.0 Thumb_2:0.306977 Index_2:0.299175 Middle_2:3.862957 Ring_2:4.863645 Pinky_2:0.0 ;Thumb_3:X=196.813 Y=19.406 Z=142.804 Index_3:X=202.479 Y=21.385 Z=141.717 Middle_3:X=199.865 Y=23.660 Z=141.153 Ring_3:X=197.646 Y=24.836 Z=140.700 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=195.018 Y=19.129 Z=141.949 Index_2:X=199.795 Y=19.364 Z=140.461 Middle_2:X=197.248 Y=22.184 Z=140.116 Ring_2:X=193.518 Y=21.761 Z=138.968 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.855515
3;1;left;009_gelatin_box;Thumb_3:0.092812 Index_3:-0.892903 Middle_3:0.862618 Ring_3:-3.465196 Pinky_3:0.0 Thumb_2:0.564471 Index_2:0.052801 Middle_2:2.650443 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=196.974 Y=19.033 Z=139.491 Index_3:X=200.242 Y=21.337 Z=139.317 Middle_3:X=198.484 Y=22.794 Z=138.604 Ring_3:X=197.748 Y=24.940 Z=138.993 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=194.809 Y=18.211 Z=137.651 Index_2:X=198.804 Y=18.890 Z=137.481 Middle_2:X=196.730 Y=20.806 Z=136.726 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.166382
3;1;right;010_potted_meat_can;Thumb_3:0.234525 Index_3:0.379481 Middle_3:0.401879 Ring_3:-0.352532 Pinky_3:0.286974 Thumb_2:0.869543 Index_2:1.909321 Middle_2:1.771734 Ring_2:0.043217 Pinky_2:0.0 ;Thumb_3:X=198.228 Y=22.425 Z=139.383 Index_3:X=200.196 Y=18.304 Z=139.777 Middle_3:X=199.925 Y=17.407 Z=139.568 Ring_3:X=196.484 Y=18.183 Z=139.073 Pinky_3:X=194.148 Y=18.538 Z=137.321 Thumb_2:X=196.375 Y=22.664 Z=137.093 Index_2:X=198.709 Y=20.049 Z=137.300 Middle_2:X=198.125 Y=17.770 Z=136.995 Ring_2:X=197.517 Y=17.649 Z=136.463 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.211365
3;1;left;011_banana;Thumb_3:-1.460871 Index_3:0.136287 Middle_3:0.0 Ring_3:0.007922 Pinky_3:-4.600108 Thumb_2:-1.169964 Index_2:-1.378349 Middle_2:0.0 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=196.917 Y=23.158 Z=138.518 Index_3:X=199.535 Y=21.033 Z=136.618 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=200.617 Y=19.465 Z=133.632 Pinky_3:X=200.593 Y=20.277 Z=131.634 Thumb_2:X=196.381 Y=22.027 Z=136.519 Index_2:X=198.901 Y=20.794 Z=139.848 Middle_2:X=0.000 Y=0.000 Z=0.000 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.466187
3;1;right;012_strawberry;Thumb_3:1.273417 Index_3:0.836111 Middle_3:1.165652 Ring_3:0.336899 Pinky_3:0.0 Thumb_2:1.453302 Index_2:0.092419 Middle_2:0.309159 Ring_2:-0.041942 Pinky_2:0.0 ;Thumb_3:X=197.428 Y=21.067 Z=145.489 Index_3:X=197.701 Y=19.755 Z=145.860 Middle_3:X=197.409 Y=18.929 Z=145.736 Ring_3:X=196.493 Y=18.596 Z=145.335 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.324 Y=21.686 Z=144.473 Index_2:X=199.294 Y=20.185 Z=144.505 Middle_2:X=198.949 Y=18.944 Z=144.330 Ring_2:X=198.086 Y=18.047 Z=144.161 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.500031
3;1;left;013_apple;Thumb_3:-0.981831 Index_3:0.484994 Middle_3:0.556045 Ring_3:-0.45072 Pinky_3:-2.232183 Thumb_2:-0.594829 Index_2:0.289337 Middle_2:0.259488 Ring_2:0.862362 Pinky_2:0.0 ;Thumb_3:X=195.995 Y=13.533 Z=145.294 Index_3:X=198.306 Y=18.250 Z=145.151 Middle_3:X=197.227 Y=19.365 Z=145.488 Ring_3:X=195.966 Y=20.152 Z=145.160 Pinky_3:X=193.481 Y=19.574 Z=144.376 Thumb_2:X=195.370 Y=13.338 Z=143.282 Index_2:X=198.758 Y=17.339 Z=143.111 Middle_2:X=198.215 Y=18.814 Z=142.740 Ring_2:X=196.407 Y=19.798 Z=142.179 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.411331
3;1;left;002_master_chef_can;Thumb_3:0.320561 Index_3:0.0 Middle_3:0.0 Ring_3:0.0 Pinky_3:0.0 Thumb_2:1.878238 Index_2:-0.471123 Middle_2:2.625768 Ring_2:3.192583 Pinky_2:0.0 ;Thumb_3:X=195.952 Y=15.678 Z=142.640 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.724 Y=17.425 Z=139.988 Index_2:X=200.643 Y=13.643 Z=140.290 Middle_2:X=202.307 Y=16.782 Z=139.742 Ring_2:X=202.854 Y=18.839 Z=138.755 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.478439
